epoch,train_accuracy,train_macro_f1,train_weighted_f1,val_accuracy,val_macro_f1,val_weighted_f1
1,0.67905,0.653414,0.706636,0.63388,0.597046,0.664932
2,0.747259,0.674014,0.770561,0.661202,0.613762,0.694709
3,0.74056,0.679236,0.748549,0.68306,0.571666,0.691351
4,0.763094,0.690921,0.780609,0.677596,0.626428,0.704614
5,0.777101,0.70015,0.794518,0.688525,0.576332,0.711948
6,0.755177,0.705319,0.780001,0.699454,0.652403,0.738633
7,0.778928,0.70856,0.790302,0.715847,0.595255,0.736166
8,0.795981,0.741551,0.81367,0.693989,0.593147,0.719563
9,0.797808,0.727566,0.816588,0.693989,0.606318,0.721914
